epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,671.89,1.43404,2.77874,0.00837,0.8817,0.79449,0.89669,0.57032,1.27062,0.85258,0.00923,0.00066578,0.00066578,0.00066578
2,1322.26,1.48695,0.89052,0.00861,0.8723,0.82956,0.9044,0.54775,1.41139,0.78041,0.01054,0.00120053,0.00120053,0.00120053
3,2007.29,1.47605,0.74721,0.00855,0.83003,0.78878,0.8651,0.53598,1.37353,0.89481,0.01008,0.00160329,0.00160329,0.00160329
4,2407.8,1.43678,0.67386,0.00827,0.93662,0.83763,0.92133,0.59602,1.30419,0.67503,0.00935,0.001406,0.001406,0.001406
5,2824.36,1.39362,0.62459,0.00802,0.92808,0.84867,0.92447,0.59807,1.32798,0.66166,0.00958,0.001208,0.001208,0.001208
6,3169.17,1.3544,0.59105,0.00764,0.94897,0.87521,0.94067,0.62678,1.23467,0.58327,0.00894,0.00101,0.00101,0.00101
7,3674.34,1.3214,0.54334,0.00744,0.95058,0.88858,0.95028,0.63401,1.2229,0.54363,0.00865,0.000812,0.000812,0.000812
8,4064.86,1.28783,0.53623,0.00724,0.94858,0.88213,0.9442,0.63077,1.21713,0.55699,0.00875,0.000614,0.000614,0.000614
9,4415,1.25989,0.50204,0.0071,0.951,0.87437,0.94933,0.63312,1.20943,0.53605,0.00859,0.000416,0.000416,0.000416
10,4753.68,1.23179,0.48976,0.0069,0.95029,0.88762,0.94677,0.63316,1.21258,0.54727,0.00856,0.000218,0.000218,0.000218
